Number,StasName,Latitude,Longitude,Province
0,ADDO ELEPHANT PARK,-33.4421,25.7485,Eastern Cape
1,ALEXANDERBAAI,-28.57,16.5287,Northern Cape
2,ALIWAL-NORTH PLAATKOP,-30.8029,26.8834,Eastern Cape
3,BARKLY-OOS (CAERLEON),-30.9315,27.607,Eastern Cape
4,BRANDVLEI,-30.4647,20.4783,Northern Cape
5,CALVINIA WO,-31.4819,19.7617,Northern Cape
6,CAPE TOWN WO,-33.9631,18.6023,Western Cape
7,DE AAR WO,-30.6651,23.9927,Northern Cape
8,DOHNE - AGR,-32.5276,27.4606,Eastern Cape
9,EAST LONDON WO,-33.0357,27.8161,Eastern Cape
10,EXCELSIOR CERES,-32.9636,19.4308,Western Cape
11,FORT BEAUFORT,-32.7881,26.6293,Eastern Cape
12,FRASERBURG,-31.916,21.5078,Northern Cape
13,GEORGE WITFONTEIN,-33.93530000000001,22.4269,Western Cape
14,GEORGE WO,-34.0043,22.3843,Western Cape
15,GRAAFF - REINET,-32.1931,24.5432,Eastern Cape
16,GRAHAMSTOWN,-33.2907,26.5026,Eastern Cape
17,KOINGNAAS,-30.1955,17.2903,Northern Cape
18,LADISMITH,-33.5006,21.2653,Western Cape
19,LAINGSBURG,-33.1908,20.8626,Western Cape
20,LANGGEWENS,-33.2763,18.7051,Western Cape
21,MALMESBURY,-33.4725,18.7183,Western Cape
22,MOLTENO RESERVOIR,-33.9377,18.4109,Western Cape
23,NOUPOORT,-31.1863,24.9603,Northern Cape
24,OUDTSHOORN,-33.6,22.1878,Western Cape
25,PATENSIE,-33.7653,24.8233,Eastern Cape
26,POFADDER,-29.1236,19.389,Northern Cape
27,PORT ALFRED - AIRPORT,-33.5595,26.8809,Eastern Cape
28,PORT ELIZABETH AWOS,-33.9864,25.6164,Eastern Cape
29,PORT ELIZABETH AWS,-33.9827,25.6138,Eastern Cape
30,PORT NOLLOTH,-29.25,16.8685,Northern Cape
31,PORTERVILLE,-33.0128,18.9771,Western Cape
32,PRIESKA,-29.6701,22.7401,Northern Cape
33,REDELINGSHUYS-AWS,-32.4814,18.537,Western Cape
34,RIVERSDALE,-34.0958,21.2517,Western Cape
35,SOMERSET EAST,-33.0497,25.7193,Eastern Cape
36,SPRINGBOK WO,-29.6694,17.8788,Northern Cape
37,TWEE RIVIEREN,-26.4717,20.6104,Northern Cape
38,UITENHAGE,-33.7141,25.4352,Eastern Cape
39,UPINGTON WO,-28.4111,21.2641,Northern Cape
40,VANWYKSVLEI,-30.3498,21.8244,Northern Cape
41,VIOOLSDRIF - AWS,-28.7694,17.6234,Northern Cape
42,VREDENDAL,-31.673,18.496,Western Cape
43,WILLOWMORE,-33.3003,23.4839,Eastern Cape
44,WORCESTER-AWS,-33.6639,19.4187,Western Cape
